raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,guerrero,malinaltepec,rancho viejo,1069.0,1893,23,['blanco cremoso'],10.8,16.7,bajas,semi-caliente,muy abundantes
maíz raza olotillo,guerrero,malinaltepec,rancho viejo,1069.0,1893,23,['amarillo medio'],12.4,15.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,metztitlan,tlaxco,1701.0,527,17,['blanco cremoso'],no disponible,no disponible,mediana altitud,fría,poco abundantes
maíz raza olotillo,veracruz de ignacio de la llave,catemaco,"la candelaria, carretera catemaco-juan díaz covarrubias",484.0,1730,23,['blanco cremoso'],11,18.09,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,frontera comalapa,cerca de san caralampio,585.0,1339,25,['blanco'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el chilar,274.0,1097,25,['amarillo medio'],9.68,15.024,bajas,caliente,abundantes
maíz raza olotillo,chiapas,angel albino corzo,colonia palestina,735.0,2133,24,"['blanco', 'amarillo claro']",11,15,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,angel albino corzo,colonia palestina,735.0,2133,24,"['blanco', 'amarillo claro']",12,15.1,bajas,semi-caliente,muy abundantes
maíz raza olotillo,nuevo leon,cadereyta jimenez,ejido la nutria,328.0,736,22,"['blanco', 'blanco cremoso']",13.1764705882353,16.8588235294118,bajas,semi-caliente,intermedias
maíz raza olotillo,nuevo leon,cadereyta jimenez,ejido trancas y alvarado,328.0,736,22,['blanco cremoso'],12.08,16.944,bajas,semi-caliente,intermedias
maíz raza olotillo,nuevo leon,cadereyta jimenez,ejido casas viejas,328.0,736,22,['blanco cremoso'],11.36,17.84,bajas,semi-caliente,intermedias
maíz raza olotillo,tabasco,huimanguillo,"cerca de gustavo díaz ordaz primera sección, subregión de la chontalpa",112.0,2204,25,['blanco cremoso'],10.9,17.55,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el chilar,310.0,1083,25,['blanco'],10.7368421052632,14.3684210526316,bajas,caliente,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,no disponible,no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,las rosas,san isidro la cuchilla,1327.0,1334,21,['blanco'],no disponible,no disponible,mediana altitud,templada,abundantes
