raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,oaxaca,santa cruz zenzontepec,santa maría tlapanalquiahuitl,943.0,1444,24,"['blanco', 'amarillo claro']",10,15.4,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,huehuetlan,tandzumadz,420.0,1501,23,"['blanco', 'amarillo', 'rojo naranja']",11.6,19,bajas,semi-caliente,muy abundantes
maíz raza olotillo,guerrero,san luis acatlan,ejido de cuanacastitlán,732.0,1738,25,['blanco cremoso'],12,11,bajas,caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,chilocuil taman,289.0,1680,24,"['blanco', 'rojo', 'rojo naranja']",10.8,20,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,chilocuil taman,289.0,1680,24,"['azul', 'rojo naranja', 'amarillo', 'azul', 'rojo naranja', 'amarillo']",10.4,17.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,chilocuil taman,289.0,1680,24,"['amarillo', 'azul']",11.6,19.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,chilocuil taman,289.0,1680,24,"['blanco', 'azul']",10,17,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,santa catarina loxicha,la nueva esperanza,864.0,909,23,['amarillo naranja'],9.76,13.7,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['rojo'],10,15.8,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],11,17.6,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],10,19.1,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],9,17.4,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],10,16.4,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['amarillo claro'],8,12.6,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],11,15.9,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],10,16.5,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina mechoacan,santa catarina mechoacán,236.0,1309,27,['blanco'],10,17.2,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,el tamarindo,562.0,1001,24,no disponible,10.05,17.29,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,cerca de el paraje,293.0,1390,23,['blanco cremoso'],10.2,15.97,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,el llano,594.0,998,24,no disponible,10.2,18.855,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,san felipe orizatlan,taxiscoatitla,148.0,1533,24,"['amarillo', 'amarillo']",10.8,15,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"chuniapan de arriba, comunidad chuniapan de arriba",151.0,1627,24,['blanco cremoso'],13,18.03,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,venustiano carranza,paraíso grijalva,667.0,1248,25,['amarillo claro'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"yaltzi, tres lagunas",1859.0,1182,17,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,san luis potosi,tampacan,chililillo,195.0,1564,24,"['amarillo', 'amarillo naranja']",9.2,19.4,bajas,semi-caliente,muy abundantes
maíz raza olotillo,guerrero,san luis acatlan,cuanacaxtitlan,473.0,1734,26,['azul oscuro'],12.4,15.9,bajas,caliente,muy abundantes
maíz raza olotillo,guerrero,san luis acatlan,cuanacaxtitlan,473.0,1734,26,['blanco cremoso'],10.4,16.9,bajas,caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"el remolino, camino los naranjos-popotal",30.0,1354,25,['amarillo naranja'],11,16.53,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa catarina loxicha,río aguacate,420.0,990,25,['blanco'],9.4,18.535,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,no disponible,no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,['blanco'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,no disponible,no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,no disponible,no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,no disponible,no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,no disponible,no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,teopisca,campo santiago,2103.0,1219,15,no disponible,no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,tlatlapango grande,347.0,1495,23,"['amarillo', 'rojo naranja', 'blanco']",10,17,bajas,semi-caliente,muy abundantes
maíz raza olotillo,puebla,cuetzalan del progreso,atalpa,565.0,2483,22,['blanco'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,puebla,cuetzalan del progreso,atalpa,565.0,2483,22,['amarillo claro'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,los pocitos,1134.0,993,22,['blanco cremoso'],9.95,13.875,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san sebastian ixcapa,costatitlán,127.0,1256,27,"['azul oscuro', 'negro']",11,16.5,bajas,caliente,abundantes
maíz raza olotillo,guerrero,petatlan,murga,115.0,997,26,['amarillo claro'],12,11.7,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,el tamarindo,448.0,1032,24,"['blanco', 'amarillo claro']",9.9,17.325,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,amatenango de la frontera,"amatenango de la frontera (amatenango viejo), al interior del ejido amatenango de la frontera",902.0,2705,23,no disponible,no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,amatenango de la frontera,"amatenango de la frontera (amatenango viejo), al interior del ejido amatenango de la frontera",902.0,2705,23,no disponible,no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,michoacan de ocampo,coalcoman de vazquez pallares,la guadalupe,1028.0,1160,22,"['blanco', 'amarillo claro']",12,16.1,bajas,semi-caliente,abundantes
maíz raza olotillo,michoacan de ocampo,coalcoman de vazquez pallares,la guadalupe,1028.0,1160,22,['blanco'],8,20.4,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,huazalingo,la ceiba,371.0,1456,23,"['amarillo', 'rojo naranja', 'blanco', 'amarillo', 'rojo naranja', 'blanco']",9.6,15.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,puebla,tulcingo,cerca de tulcingo del valle,1107.0,690,23,"['azul', 'negro']",10,15.72,bajas,semi-caliente,intermedias
maíz raza olotillo,veracruz de ignacio de la llave,acayucan,"la esperanza malota, carretera veracruz-acayucan, desviación en vista hermosa",103.0,1537,25,['blanco cremoso'],12.4,14.25,bajas,caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,acayucan,"la esperanza malota, carretera veracruz-acayucan, desviación en vista hermosa",103.0,1537,25,['blanco cremoso'],12.2,15.45,bajas,caliente,muy abundantes
maíz raza olotillo,chiapas,venustiano carranza,cerca de barrio san francisco,643.0,1120,25,['blanco'],8.4,17.05,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,cerca de la reforma,439.0,1533,23,"['blanco cremoso', 'negro']",9.6,16.82,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,cerca de la reforma,439.0,1533,23,"['amarillo medio', 'amarillo naranja']",10,15.98,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,yahualica,tepetitla,491.0,1538,22,['amarillo medio'],9.8,13.82,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,espinal,"plan de la noria, casa del productor",87.0,1571,24,['blanco cremoso'],11.4,19.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,espinal,"plan de la noria, casa del productor",87.0,1571,24,['blanco cremoso'],12.4,21.14,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,las rosas,villa las rosas,1306.0,1329,21,['blanco'],10,14,mediana altitud,templada,abundantes
maíz raza olotillo,san luis potosi,tamazunchale,guaxcuaco,469.0,1542,23,"['blanco', 'rojo naranja']",11.6,22.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,guaxcuaco,469.0,1542,23,['amarillo'],10.8,19.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,xochiatipan,acanoa,698.0,1728,22,['amarillo medio'],9.2,15.45,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,"mecatlán, barrio axhumol",157.0,1747,24,"['amarillo', 'rojo naranja']",10.8,19.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,"mecatlán, barrio de atlajque",157.0,1747,24,['amarillo'],10,20,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,tamazunchale,mecatlán,157.0,1747,24,['blanco'],9.6,17.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,guerrero,tecpan de galeana,arroyo de la ordeña,141.0,1094,26,['blanco cremoso'],11.6,16,bajas,caliente,abundantes
maíz raza olotillo,hidalgo,calnali,coamila,1210.0,757,19,['amarillo claro'],no disponible,no disponible,mediana altitud,templada,intermedias
maíz raza olotillo,hidalgo,atlapexco,"atlajco, barrio calixpa",250.0,1438,23,"['amarillo', 'rojo naranja', 'amarillo', 'rojo naranja']",10.8,16.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atlapexco,"atlajco, barrio xocotzintla",250.0,1438,23,"['amarillo', 'blanco', 'amarillo', 'blanco']",10.4,16,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,['blanco'],14,15.6,altas,fría,abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,['amarillo claro'],11,15.2,altas,fría,abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,['blanco'],11,17.2,altas,fría,abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,"['blanco', 'rojo']",12,15.8,altas,fría,abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,['blanco'],11,16.9,altas,fría,abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,['amarillo claro'],13,15.5,altas,fría,abundantes
maíz raza olotillo,oaxaca,san juan lachao,san juan lachao pueblo viejo,2056.0,1221,17,['blanco'],12,16.2,altas,fría,abundantes
maíz raza olotillo,hidalgo,atlapexco,"tlachapa, barrio arriba",208.0,1431,23,['amarillo'],10,18.4,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atlapexco,"tlachapa, barrio naranjal",208.0,1431,23,['amarillo'],10.4,17.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atlapexco,"tlachapa, barrio arriba",208.0,1431,23,"['amarillo', 'amarillo naranja', 'amarillo', 'amarillo naranja']",9.6,16.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atlapexco,tlachapa,208.0,1431,23,"['blanco', 'blanco']",9.2,14.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atlapexco,"tlachapa, barrio arriba",208.0,1431,23,"['amarillo', 'blanco']",9.6,15.4,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atlapexco,tlachapa,208.0,1431,23,"['amarillo', 'amarillo naranja', 'amarillo', 'amarillo naranja']",8.8,14.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,chiapas,las margaritas,1 de mayo,1671.0,1220,18,['amarillo claro'],no disponible,no disponible,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,las margaritas,1 de mayo,1671.0,1220,18,['blanco'],no disponible,no disponible,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,las margaritas,1 de mayo,1671.0,1220,18,['amarillo claro'],no disponible,no disponible,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,las margaritas,1 de mayo,1671.0,1220,18,['blanco'],no disponible,no disponible,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,las margaritas,1 de mayo,1671.0,1220,18,['amarillo claro'],no disponible,no disponible,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,las margaritas,1 de mayo,1671.0,1220,18,['amarillo claro'],no disponible,no disponible,mediana altitud,fría,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"pizapan, carretera san andrés-tilapan desviación los mérida",115.0,1569,25,['amarillo claro'],10.4,16.99,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,chiconquiaco,"la vaquería, zona baja, chiconquiaco",1811.0,1676,14,"['blanco', 'azul']",13.4,16.01,altas,fría,muy abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,el ocote,898.0,964,23,no disponible,10.8,19.565,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,santa maria cortijo,santa maría cortijo,80.0,1194,27,"['blanco', 'amarillo claro', 'azul oscuro']",no disponible,no disponible,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,tantoyuca,ejido siete palmas,160.0,1209,24,['blanco'],11.2,17.6,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,tantoyuca,ejido siete palmas,160.0,1209,24,['blanco'],10.4,18.6,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,tantoyuca,ejido siete palmas,160.0,1209,24,['blanco'],10.4,15.4,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,tantoyuca,ejido siete palmas,160.0,1209,24,['blanco'],10,15.8,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,papantla,"la isla, comunidad ejido la isla",14.0,1392,24,['blanco cremoso'],11.8,20.15,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,papantla,"la isla, comunidad ejido la isla",14.0,1392,24,['blanco cremoso'],12,18.66,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,papantla,"la isla, olmedo",14.0,1392,24,['blanco cremoso'],12.4,17.72,bajas,semi-caliente,muy abundantes
maíz raza olotillo,guerrero,tecpan de galeana,papanoa,24.0,915,26,['blanco cremoso'],11.2,18.2,bajas,caliente,abundantes
maíz raza olotillo,guerrero,tecpan de galeana,papanoa,24.0,915,26,['amarillo claro'],8,20,bajas,caliente,abundantes
maíz raza olotillo,hidalgo,yahualica,pepeyocatitla,221.0,1457,24,['blanco'],9,16.38,bajas,semi-caliente,muy abundantes
maíz raza olotillo,guanajuato,xichu,llanetes,927.0,534,23,['blanco'],10.2,17.6,bajas,semi-caliente,poco abundantes
maíz raza olotillo,guanajuato,xichu,llanetes,927.0,534,23,['azul oscuro'],12.8,15.4,bajas,semi-caliente,poco abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"la redonda, carretera tilapan-río tuxpan",44.0,1391,25,['blanco cremoso'],12.4,17.2,bajas,caliente,muy abundantes
maíz raza olotillo,guerrero,malinaltepec,cerca de monte alegre,1705.0,1406,20,['blanco cremoso'],11,17,mediana altitud,templada,muy abundantes
maíz raza olotillo,morelos,ayala,el vergel,933.0,763,24,['blanco'],10.4,14.98,bajas,semi-caliente,intermedias
maíz raza olotillo,oaxaca,san bartolome loxicha,arroyo bejuco,574.0,1031,24,['blanco'],9.75,13.5,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,chiapa de corzo,francisco sarabia,434.0,1058,26,['blanco'],no disponible,no disponible,bajas,caliente,abundantes
maíz raza olotillo,chiapas,chiapa de corzo,francisco sarabia,434.0,1058,26,['amarillo claro'],no disponible,no disponible,bajas,caliente,abundantes
maíz raza olotillo,chiapas,chiapa de corzo,francisco sarabia,434.0,1058,26,['amarillo claro'],no disponible,no disponible,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,santa maria tonameca,"santa maría tonameca, cabecera municipal, al interior de terreno comunal",37.0,1061,26,"['blanco', 'amarillo claro']",12,15.5,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,"calaco, ejido huecuatitla",362.0,1407,23,"['amarillo', 'rojo naranja', 'blanco']",9.2,15.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,atotonilco el grande,"cerca de tezahuapa, (aledaños al ejido agua limpia)",2075.0,605,16,['blanco cremoso'],8.8,13.36,altas,fría,poco abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,pahuatitla,429.0,1473,23,"['amarillo', 'rojo naranja']",11.2,16.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,xilitla,cerro quebrado,1213.0,866,19,"['azul', 'blanco', 'amarillo', 'azul', 'blanco', 'amarillo']",10.6,18.6,mediana altitud,templada,abundantes
maíz raza olotillo,san luis potosi,xilitla,cerro quebrado,1213.0,866,19,"['blanco', 'rojo', 'rojo naranja']",11.6,18.8,mediana altitud,templada,abundantes
maíz raza olotillo,chiapas,chiapa de corzo,narciso mendoza,407.0,1039,26,['amarillo naranja'],no disponible,no disponible,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,hueyapan de ocampo,"la chamizal, camino santa rosa cintepec-juan díaz cobarruvias",184.0,1582,24,['blanco cremoso'],11,17.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,ciudad valles,san felipe,163.0,1192,24,no disponible,no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,san luis potosi,ciudad valles,san felipe,163.0,1192,24,['blanco'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,cerro de horno,895.0,994,23,['blanco cremoso'],10,16.19,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,cerro de horno,895.0,994,23,['blanco'],9.8,15.655,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,tataltepec de valdes,santa cruz tepenixtlahuaca,463.0,1343,26,['blanco'],14,18.8,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,tataltepec de valdes,santa cruz tepenixtlahuaca,463.0,1343,26,['rojo'],11,15.9,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,tataltepec de valdes,santa cruz tepenixtlahuaca,463.0,1343,26,['blanco'],10,17,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,san vicente yogondoy,1463.0,953,20,['blanco cremoso'],8.9,14.88,mediana altitud,templada,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,rio grande,1463.0,953,20,['blanco cremoso'],9.5,17.275,mediana altitud,templada,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,rio grande,1463.0,953,20,"['blanco', 'amarillo claro']",10.45,15.155,mediana altitud,templada,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,río piedra,1463.0,953,20,"['blanco', 'amarillo claro']",9.2,19.5333333333333,mediana altitud,templada,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,el campanario,1463.0,953,20,['blanco'],9.5,16.755,mediana altitud,templada,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,san vicente yogondoy,1463.0,953,20,['blanco cremoso'],10.45,17.92,mediana altitud,templada,abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,paraje bizjuane,997.0,929,22,"['blanco cremoso', 'amarillo claro']",10.1,17.53,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,la trinitaria,el salvador,1720.0,1364,17,['blanco'],12,14.6,mediana altitud,fría,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,platon sanchez,platón sánchez,62.0,1322,24,['amarillo'],10,16,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,la independencia,rio blanco,909.0,1579,22,['amarillo claro'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,puebla,tlaola,chicohuaxtla,1194.0,2228,18,['blanco cremoso'],10,16.4857142857143,bajas,templada,muy abundantes
maíz raza olotillo,guerrero,tixtla de guerrero,cerca de la localidad el durazno,1923.0,1176,18,['blanco cremoso'],10.8,19.3,altas,fría,abundantes
maíz raza olotillo,chiapas,berriozabal,berriozabal,925.0,1000,23,['amarillo claro'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,berriozabal,berriozabal,925.0,1000,23,['blanco'],9,16.3,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,agua blanca de iturbide,ranchería potrero monroy,1792.0,1304,16,['amarillo naranja'],10.6,16.38,mediana altitud,fría,abundantes
maíz raza olotillo,chiapas,frontera comalapa,cerca de rodulfo figueroa,586.0,1319,25,['blanco'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,comitan de dominguez,"jusnajab, la laguna",1864.0,1142,16,['amarillo claro'],no disponible,no disponible,altas,fría,abundantes
maíz raza olotillo,chiapas,la independencia,san marcos,1484.0,1270,18,['amarillo claro'],no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,papantla,"rancho la playa, salida cerro de las flores",12.0,1298,24,['blanco cremoso'],12.2,18.9,bajas,semi-caliente,abundantes
maíz raza olotillo,puebla,chietla,cerca de derramadero,1182.0,720,23,['blanco cremoso'],9.33333333333333,14.7166666666667,bajas,semi-caliente,intermedias
maíz raza olotillo,guerrero,leonardo bravo,los morros,2085.0,1395,17,['blanco cremoso'],9.2,23,altas,fría,muy abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,el chilar,307.0,1083,25,['blanco'],10.5,14.505,bajas,caliente,abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['blanco', 'amarillo']",10.8,18.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['amarillo', 'blanco']",9.33,17,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['amarillo', 'blanco', 'azul']",9.2,18,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['amarillo', 'amarillo naranja', 'amarillo', 'amarillo naranja']",11.2,18,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,['amarillo'],8,17,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,no disponible,no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,['amarillo'],9.6,14.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['amarillo', 'café']",10,15.5,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,['blanco'],11.6,17.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['amarillo', 'rojo naranja']",10,14.5,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,matlapa,chalchocoyo,266.0,1628,23,"['amarillo', 'blanco']",9.6,14.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,santa catarina loxicha,los colorados,1086.0,929,22,no disponible,10.7,16.525,bajas,semi-caliente,abundantes
maíz raza olotillo,hidalgo,xochiatipan,el zapote,533.0,1726,22,"['blanco', 'amarillo claro']",9.4,14.23,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,el ocote,691.0,985,24,['blanco cremoso'],10.08,17.584,bajas,semi-caliente,abundantes
maíz raza olotillo,guerrero,eduardo neri,tenantla,1762.0,1125,19,no disponible,no disponible,no disponible,mediana altitud,templada,abundantes
maíz raza olotillo,san luis potosi,tanlajas,san josé xilatzen,314.0,1474,24,"['blanco cremoso', 'amarillo naranja']",11,18.4,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,villa terrazas,84.0,1552,24,['amarillo naranja'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,axtla,84.0,1552,24,['blanco'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,villa terrazas,84.0,1552,24,"['amarillo claro', 'rojo']",12,16,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,villa terrazas,84.0,1552,24,['blanco'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,puebla,cuetzalan del progreso,santiago yancuitlalpan,508.0,2493,22,['amarillo naranja'],9.6,15.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"ohuilapan, comunidad ohuilapan",116.0,1607,25,['blanco cremoso'],10.2,17.37,bajas,semi-caliente,muy abundantes
maíz raza olotillo,hidalgo,huejutla de reyes,los otates,119.0,1359,24,"['amarillo naranja', 'amarillo', 'rojo naranja']",10.8,16.6,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,paso ancho,175.0,1000,26,no disponible,10.1,19.125,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,san miguel tlacamama,san miguel tlacamama,256.0,1295,27,['amarillo claro'],8,17.7,bajas,caliente,abundantes
