taxon_id,taxon,genero,especie,subespecie,raza,fuente,proyecto,procedencia,fecha_colecta_observacion,colector_observador,determinador,id,estado,municipio,localidad,latitud,longitud,altitud
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-07-28/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",cbdbf944e596953d77da7b80c61fb0be,OAXACA,"CANDELARIA LOXICHA","Barrio Coyote",15.8148333,-96.5714444,161
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,Z006,Colectado,1996-03-13/9999,"Rafael Ortega Paczka; Fernando Castillo González; Juan Ramón Pérez Pérez","Rafael Ortega Paczka",54bc8bfcb2009d29ed2f839adaf884b0,PUEBLA,ZACAPOAXTLA,Tatoxcac,19.8675002,-97.5727766,1905
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ016,Colectado,2009-11-25/9999,"Artemio Palafox Caballero; Néstor Francisco Nicolás","Juan Manuel Hernández Casillas",61a9c7762f571eea86c7d0264ce1d05b,"VERACRUZ DE IGNACIO DE LA LLAVE","HUEYAPAN DE OCAMPO","Santa Rosa Cintepec, carretera Catemaco-Acayucan",18.2983333,-95.1175,483
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2008-02-11/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",33e28a258881f96e54a0e91b570806cd,OAXACA,"SANTA CATARINA LOXICHA","San José del Peñasco",16.0373333,-96.7036667,639
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Colectado,2008-02-11/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",92f0c47861489ffad4edc7e0f0c956d7,OAXACA,"SANTA CATARINA LOXICHA","San José del Peñasco",16.0373333,-96.7036667,639
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Colectado,2007-12-01/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",6c85fe228f32372a824ca5e7621577c9,OAXACA,"CANDELARIA LOXICHA","Río Los Peces",15.8775,-96.5385278,388
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-10-01/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",8eeebb03382355db061fbd6cbf49a9bf,OAXACA,"CANDELARIA LOXICHA","Río Los Peces",15.8775,-96.5385278,388
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FY001,Colectado,1974/9999,"José Manuel Fernández Brondo; Alberto Ramos Rodríguez","Juan Manuel Hernández Casillas",187a50a3bbc65a33262c1f259938a06b,"VERACRUZ DE IGNACIO DE LA LLAVE",JILOTEPEC,Jilotepec,19.61139,-96.9494397,1369
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-11-28/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",bb3f0fd79a84f1227a7ea7ffe6351577,OAXACA,"SAN BARTOLOME LOXICHA","Arroyo Seco",15.9898611,-96.7333333,621
79265ANGIO,"Zea mays subsp. mays raza Olotillo",Zea,mays,mays,Olotillo,NA,FZ003,Observado,2007-11-29/9999,"Beatriz Rendón Aguilar; Rafael Ortega Pazcka; Verónica Aguilar Rojas; María del Consuelo Aragón Martínez; José Francisco Ávila Castañeda; Luis Alberto Bernal Ramírez; Alma Delia Chávez González; Mireya Hernández Hernández; Alejandro López Arriaga; José Mi","Rafael Ortega Pazcka",489a994ebdca1594de1a55a0d7bb9f81,OAXACA,"SAN BARTOLOME LOXICHA","El Tapanco",15.9943056,-96.7221667,508
