race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Chilar,274,1097,25,['medium yellow'],9.68,15.024,low,hot,abundant
maíz raza olotillo,Chiapas,Angel Albino Corzo,Colonia Palestina,735,2133,24,"['white', 'light yellow']",11,15,low,semi-warm,very abundant
maíz raza olotillo,Chiapas,Angel Albino Corzo,Colonia Palestina,735,2133,24,"['white', 'light yellow']",12,15.1,low,semi-warm,very abundant
maíz raza olotillo,Nuevo Leon,Cadereyta Jimenez,Ejido la Nutria,328,736,22,"['white', 'creamy white']",13.1764705882353,16.8588235294118,low,semi-warm,intermediate
maíz raza olotillo,Nuevo Leon,Cadereyta Jimenez,Ejido Trancas y Alvarado,328,736,22,['creamy white'],12.08,16.944,low,semi-warm,intermediate
maíz raza olotillo,Nuevo Leon,Cadereyta Jimenez,Ejido Casas Viejas,328,736,22,['creamy white'],11.36,17.84,low,semi-warm,intermediate
maíz raza olotillo,Tabasco,Huimanguillo,"Cerca de Gustavo Díaz Ordaz Primera Sección, Subregión de la Chontalpa",112,2204,25,['creamy white'],10.9,17.55,low,hot,very abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Chilar,310,1083,25,['white'],10.7368421052632,14.3684210526316,low,hot,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,,,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['light yellow'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['white'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['light yellow'],,,medium altitude,temperate,abundant
maíz raza olotillo,Chiapas,Las Rosas,San Isidro la Cuchilla,1327,1334,21,['light yellow'],,,medium altitude,temperate,abundant
maíz raza olotillo,Morelos,Ayala,El Vergel,928,763,24,['white'],10,16.14,low,semi-warm,intermediate
maíz raza olotillo,Morelos,Tlaquiltenango,Xicatlacotla,809,803,24,['white'],10.4,14.74,low,semi-warm,intermediate
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,La Chinilla,652,1022,24,['white'],9.7,19.045,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Barrio Coyote,126,1049,26,['white'],10.45,17.875,low,hot,abundant
maíz raza olotillo,Chiapas,Ocozocoautla de Espinosa,Ocuilapa de Juarez,948,1000,23,['light yellow'],10,17,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Miguel Coatlan,Lindavista,1489,929,20,['white'],11.7,18.175,medium altitude,temperate,abundant
maíz raza olotillo,Guerrero,Tepecoacuilco de Trujano,Palula,666,733,26,['creamy white'],12,15.1,low,hot,intermediate
maíz raza olotillo,Veracruz de Ignacio de la Llave,Alpatlahuac,Alpatlahua,1854,1054,15,"['light yellow', 'red']",10,16.2,high,cold,abundant
maíz raza olotillo,Hidalgo,Jaltocan,La Ilusión,109,1484,24,['yellow'],10.8,14.8,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Jaltocan,La Ilusión,109,1484,24,['yellow'],8,15,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Río Molino,751,1020,24,['white'],10.75,14.68,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Castillo de Teayo,El Xuchitl,137,1291,24,['creamy white'],11.4,21.33,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Castillo de Teayo,El Xuchitl,137,1291,24,['creamy white'],11.6,20.24,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Castillo de Teayo,El Xuchitl,137,1291,24,['creamy white'],11.6,20.9,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Castillo de Teayo,El Xuchitl,137,1291,24,['creamy white'],11.6,19.24,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Castillo de Teayo,El Xuchitl,137,1291,24,['creamy white'],11.4,16.45,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Castillo de Teayo,El Xuchitl,137,1291,24,['creamy white'],12.2,21.81,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Huazalingo,Santa María,516,1522,23,"['white', 'mottled', 'red-orange']",10,17.2,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huazalingo,Santa María,516,1522,23,"['yellow', 'orange-yellow', 'yellow', 'orange-yellow']",10,15.8,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huazalingo,Santa María,516,1522,23,"['white', 'white']",10,18.2,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huazalingo,Santa María,516,1522,23,"['yellow', 'orange-yellow', 'pure white', 'yellow', 'orange-yellow', 'pure white']",10.8,16.8,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huazalingo,Santa María,516,1522,23,"['yellow', 'orange-yellow', 'pure white', 'yellow', 'orange-yellow', 'pure white']",10,11.4,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huazalingo,Santa María,516,1522,23,"['yellow', 'red-orange', 'white', 'yellow', 'red-orange', 'white']",10,16.2,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Jesus Carranza,"Vista Hermosa, Ejido Vista Hermosa",58,2526,25,"['creamy white', 'light yellow']",12,18.15,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Huehuetlan,Tantocoy Uno,411,1500,23,"['white', 'yellow', 'blue']",10.8,21.8,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Chilar,335,1097,25,['creamy white'],12,13.755,low,hot,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Chicontepec,Cerca de Sesaltitla,270,1323,23,['creamy white'],10.4,16.53,low,semi-warm,abundant
maíz raza olotillo,Chiapas,El Parral,Ejido el Parral,644,1143,24,"['light yellow', 'red']",9,20,low,semi-warm,abundant
maíz raza olotillo,Chiapas,El Parral,Ejido el Parral,644,1143,24,['white'],8,19,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Soyalo,Colonia Francisco Sarabia,873,1111,23,['white'],10,22,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Soyalo,Colonia Francisco Sarabia,873,1111,23,['white'],9,18.8,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Totolapa,Totolapa,661,954,25,,,,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Totolapa,Totolapa,661,954,25,,,,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Ocozocoautla de Espinosa,Vicente Guerrero,875,972,23,['orange-yellow'],,,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Baltazar Loxicha,Villa Tierra,847,930,23,,10.65,19.95,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Hueyapan de Ocampo,"Coyol de González, Carretera Hueyapan de Ocampo-Coyolito",55,1431,25,['creamy white'],12.2,18.62,low,hot,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Tulapan, Carretera Salto de Eyipantla-Abrevadero",80,1432,25,['creamy white'],10.6,16.41,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Tulapan, Carretera Salto de Eyipantla-Abrevadero",80,1432,25,"['orange-yellow', 'orange']",10.6,15.76,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Tulapan, Carretera Salto de Eyipantla-Abrevadero",80,1432,25,['creamy white'],10.6,16.57,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Santa Rosa Abata, Carretera San Andrés Tuxtla-Catemaco, Desviación Santa Rosa Abata",536,1782,23,['creamy white'],13,18.26,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,San Andres Huaxpaltepec,Rancho Viejo,226,1258,27,['white'],11,15.3,low,hot,abundant
maíz raza olotillo,Oaxaca,San Agustin Loxicha,Juquilita,1919,1098,17,"['creamy white', 'dark blue']",10.2,19.595,high,cold,abundant
maíz raza olotillo,Guanajuato,Atarjea,El Charco,1638,511,18,"['white', 'red', 'dark blue']",11.6,16.5,medium altitude,cold,low
maíz raza olotillo,Chiapas,El Bosque,El Bosque,1341,1381,20,['white'],10,16.5,medium altitude,temperate,very abundant
maíz raza olotillo,San Luis Potosi,Xilitla,Apetzco,876,1089,21,"['red', 'blue', 'white', 'red', 'blue', 'white']",10.4,16.2,low,temperate,abundant
maíz raza olotillo,San Luis Potosi,Xilitla,Apetzco,876,1089,21,"['white', 'red-orange']",12.4,18.8,low,temperate,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],10,14.2,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['light yellow'],11,14.2,low,semi-warm,abundant
