"plate_name","well","sample_name","accession_ID","concentration","volume","DNA_yield","accession_label","country","state","municipality","locality","latitude","longitude","altitude","scale","Race"
"olotillo_plate1","B5","GRO_N19_1","GRO_N19",69,30,2070,19,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8155,-90.68991667,615,"National","Olotillo"
"olotillo_plate1","C5","GRO_N18_2","GRO_N18",91.4,30,2742,18,"México","Guerrero","Coyuca de Benítez","Atoyaquillo",17.1046944,-100.0449722,175,"National","Olotillo"
"olotillo_plate1","D5","CHIS_L08_3","CHIS_L08",37.4,30,1122,8,"México","Chiapas","Ocozocuatla","San Isidro, Ciénega Silviana_predio",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","E5","CHIS_L41_4","CHIS_L41",28.8,30,864,41,"México","Chiapas","Ocozocuatla","Rancho El Pitutal",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","F5","CHIS_L37_4","CHIS_L37",49.2,30,1476,37,"México","Chiapas","Ocozocuatla","San Jorge km 18",16.7129861,-93.52033333,784,"Local","Olotillo"
"olotillo_plate1","G5","GRO_N13_1","GRO_N13",82.4,30,2472,13,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8115278,-98.68422222,610,"National","Olotillo"
"olotillo_plate1","H5","CHIS_L44_2","CHIS_L44",30.6,30,918,44,"México","Chiapas","Ocozocuatla","San Jorge km 18",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","A6","CHIS_R06_3","CHIS_R06",35.8,30,1074,6,"México","Chiapas","Suchiapa","El Recreo \Plan de Mulumi\",16.63448026,-93.1205578,427.5911362,"Regional","Olotillo"
"olotillo_plate1","B6","NAY_N30_1","NAY_N30",82.7,30,2481,30,"México","Nayarit","La Yesca","Puente de Camotlán",21.7060833,-104.0749444,1136,"National","Olotillo"
"olotillo_plate1","C6","GRO_N20_2","GRO_N20",81,30,2430,20,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0998889,-99.99258333,520,"National","Olotillo"
"olotillo_plate1","D6","NAY_N47_2","NAY_N47",84.1,30,2523,47,"México","Nayarit","La Yesca","Huajimic",21.6436944,-104.3425556,1211,"National","Olotillo"
"olotillo_plate1","E6","CHIS_R05_2","CHIS_R05",41.8,30,1254,5,"México","Chiapas","Cintalapa","Corazón del Valle",16.41680096,-93.98399715,784.852259,"Regional","Olotillo"
"olotillo_plate1","F6","CAM_E13_1","CAM_E54",54.1,30,1623,NA,"México","Campeche","Puerto Campeche","",NA,NA,NA,"Extra","Dzit-bacal"
"olotillo_plate1","G6","SLP_E8_1","SLP_E51",80.2,30,2406,NA,"México","San Luis Potosí","Tampacán","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","H6","GRO_N24_4","GRO_N24",43.7,30,1311,24,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0221111,-99.98516667,520,"National","Olotillo"
"olotillo_plate1","A7","CHIS_E9_1","CHIS_E52",75.4,30,2262,NA,"México","Chiapas","","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","B7","NAY_N47_3","NAY_N47",88.7,30,2661,47,"México","Nayarit","La Yesca","Huajimic",21.6436944,-104.3425556,1211,"National","Olotillo"
"olotillo_plate1","C7","CAM_E16","CAM_E55",34.2,30,1026,NA,"México","Campeche","Champoton","",NA,NA,NA,"Extra","Dzit-bacal"
"olotillo_plate1","D7","SLP_E7_1","SLP_E51",84.7,30,2541,NA,"México","San Luis Potosí","Tampacán","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","E7","GRO_N24_2","GRO_N24",62.3,30,1869,24,"México","Guerrero","Coyuca de Benítez","Pueblo Viejo",17.0221111,-99.98516667,520,"National","Olotillo"
"olotillo_plate1","F7","GRO_N18_1","GRO_N18",44,30,1320,18,"México","Guerrero","Coyuca de Benítez","Atoyaquillo",17.1046944,-100.0449722,175,"National","Olotillo"
"olotillo_plate1","G7","CHIS_R11_1","CHIS_R11",66,30,1980,11,"México","Chiapas","El Parral","El Parral",16.36401651,-93.00194529,651.2208794,"Regional","Olotillo"
"olotillo_plate1","H7","NAY_N29_3","NAY_N29",54.1,30,1623,29,"México","Nayarit","Ixtlán del Río","Los Sauces, Cacalutan",21.1324167,-104.2629167,798,"National","Olotillo"
"olotillo_plate1","A8","GRO_N22_1","GRO_N22",87.4,30,2622,22,"México","Guerrero","San Luis Acatlán","Yoloxochitl",16.8115278,-98.68405556,641,"National","Olotillo"
"olotillo_plate1","B8","CHIS_R05_1","CHIS_R05",58.2,30,1746,5,"México","Chiapas","Cintalapa","Corazón del Valle",16.41680096,-93.98399715,784.852259,"Regional","Olotillo"
"olotillo_plate1","C8","CHIS_E10_1","CHIS_E52",24.6,30,738,NA,"México","Chiapas","","",NA,NA,NA,"Extra","Olotillo"
"olotillo_plate1","D8","GRO_N14_2","GRO_N14",36.2,30,1086,14,"México","Guerrero","San Luis Acatlán","El Carmen",16.8155,-98.76111111,287,"National","Olotillo"
"olotillo_plate1","E8","CHIS_L44_1","CHIS_L44",103,30,3090,44,"México","Chiapas","Ocozocuatla","San Jorge km 18",NA,NA,NA,"Local","Olotillo"
"olotillo_plate1","F8","GRO_N15_1","GRO_N15",55,30,1650,15,"México","Guerrero","San Luis Acatlán","Cuanacaxtitlan",16.7951944,-98.63719444,438,"National","Olotillo"
"olotillo_plate1","G8","GRO_N23_2","GRO_N23",45.9,30,1377,23,"México","Guerrero","Coyuca de Benítez","La Lima",16.9850833,-99.86388889,324,"National","Olotillo"
"olotillo_plate1","H8","VER_E1_1","VER_E48",48.1,30,1443,NA,"México","Veracruz","Tantoyuca","",NA,NA,NA,"Extra","Olotillo"
