ID,sampled_by,source ,accesion_bank,collection_year,state,municipality,locality,latitude,longitude,altitude,species,colour ,race,type
CHIS_L34,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,Ejido San Rafael ,16.666931,-93.418475,785,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L35,Duhyadi Oliva García,field,,2018,Chiapas ,Ocozocuatla ,El Gavilán,16.74977,-93.46063,756,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L36,Duhyadi Oliva García,field,,2019,Chiapas ,Jiquipilas ,Benito Juárez ,16.782556,-93.608043,751,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L37,Duhyadi Oliva García,field,,2019,Chiapas ,Ocozocuatla ,San Jorge km 18 ,16.7129861,-93.52033333,784,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L38,Duhyadi Oliva García,field,,2019,Chiapas ,Ocozocuatla ,El Aguacero ,16.780436,-93.492936,775,Zea mays ssp. mays ,white,RocameyVeracruzanoOlotillo,local
CHIS_L39,Duhyadi Oliva García,field,,2019,Chiapas ,Ocozocuatla ,El Aguacero ,16.780436,-93.492936,775,Zea mays ssp. mays ,white,Olotillo,local
CHIS_R40,Duhyadi Oliva García,field,,2018,Chiapas ,Chiapa de Corzo ,Narciso Mendoza ,16.57778189,-92.98854284,435.0801469,Zea mays ssp. mays ,white,Olotillo,regional 
CHIS_L41,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,Rancho El Pitutal,16.70745,-93.32761,932,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L42,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,Rancho San Isidro ,16.8562,-93.40551,972,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L43,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,Región Mazotho_ejido Ocozocuatla  ,16.757344,-93.4547,754,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L44,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,San Jorge km 18 ,16.71199,-93.51664,810,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L45,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,"La Borcelana, Ejido Ocozocuatla ",16.78669,-93.43072,841,Zea mays ssp. mays ,white,Olotillo,local
CHIS_L46,Bulmaro Coutiño Estrada,field,,2018,Chiapas ,Ocozocuatla ,Ejido San Andrés,16.740278,-93.511111,725,Zea mays ssp. mays ,white,Olotillo,local
NAY_N47,Víctor Antonio Vidal Martínez ,field,,2019,Nayarit ,La Yesca ,Huajimic ,21.6436944,-104.3425556,1211,Zea mays ssp. mays ,white,Olotillo,national
VER_E48,Víctor Hugo Chávez ,bank ,CIMMYTMA29569,2007,Veracruz,Tantoyuca ,El Mezquite,21.3833,-98.25,126,Zea mays ssp. mays ,white,Olotillo,national
SLP_E49,Víctor Hugo Chávez ,bank ,CIMMYTMA 29498,2007,San Luis Potosí,Xilitla,Apetzco,21.393081,-99.010927,872,Zea mays ssp. mays ,white,Olotillo,national
HGO_E50,Víctor Hugo Chávez ,bank,CIMMYTMA29343,2007,Hidalgo ,Jaltocán,La Ilusión,21.141304,-98.54596,248,Zea mays ssp. mays ,white,Olotillo,national
SLP_E51,Víctor Hugo Chávez ,bank,CIMMYTMA29464,2007,San Luis Potosí,Tampacan ,Chupadero ,21.4,-98.73,148,Zea mays ssp. mays ,white,Olotillo,national
CHIS_E52,Hugo Perales Rivera ,field,,,Chiapas ,Comitán de Domínguez,Santa Elena Las Agujas ,16.36120704,-92.17921108,2089,Zea mays ssp. mays ,white,Olotillo,regional 
ROO_E53,Hugo Perales Rivera ,field,,2016,Quintana Roo,Felipe Carrillo Puerto,Chumpón,20.00222,-87.81222,7,Zea mays ssp. mays ,white,Dzit-bacal,national
CAM_E54,Hugo Perales Rivera ,field,,2015,Campeche ,,,,,,Zea mays ssp. mays ,white,Dzit-bacal,national
CAM_E55,Hugo Perales Rivera ,field ,,2016,Campeche,Champoton,Pustunich,19.14444,-90.47861,55,Zea mays ssp. mays ,white,Dzit-bacal,national
VER_E56,Víctor Hugo Chávez ,bank ,CIMMYTMA29586,2007,Veracruz,Benito Juárez,Azoquitipa,20.77,-98.18,458,Zea mays ssp. mays ,white,Olotillo,national
VER_E57,Víctor Hugo Chávez ,bank,CIMMYTMA29535,2007,Veracruz,Ixcatepec,Ejido Ixcatepec ,21.2,-97.98,299,Zea mays ssp. mays ,white,Olotillo,national
CAM_E58,Hugo Perales Rivera ,field,,2016,Campeche ,Escárcega ,Ejido La Victoria ,18.4931,-90.9221,100,Zea mays ssp. mays ,white,Tuxpeño,national
CHIS_E59,Hugo Perales Rivera ,field ,,,Chiapas ,Comitán de Domínguez,Santa Elena Las Agujas ,16.36120704,-92.17921108,2089,Zea mays ssp. mays ,white,Olotillo,regional 
CAM_E60,Hugo Perales Rivera ,field ,,2016,Campeche ,Champoton,Pixoyal,18.937363,-90.599887,100,Zea mays ssp. mays ,white,Tuxpeño,regional 
