"plate_name"	"well"		"sample_name"	"accession_ID"	"concentration"	"volume"	"DNA_yield"	"accession_label"		"country"	"state"	"municipality"	"locality"	"latitude"	"longitude"	"altitude"	"source"	"scale"
"olotillo_plate2"	"F5"		"GAV_F1R2_2"	"GAV_F1R2"	116	30	3480											"_F"
"olotillo_plate2"	"G5"		"CHIS_L44_4"	"CHIS_L44"	40	30	1200	44		"México"	"Chiapas"	"Ocozocuatla"	"San Jorge km 18"					"_L"
"olotillo_plate2"	"H5"		"VER_E20_1"	"VER_E20"	132	30	3960											"_E"
"olotillo_plate2"	"A6"		"GRO_N19_4"	"GRO_N19"	74	30	2220	19		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8155	-90.68991667	615		"_N"
"olotillo_plate2"	"B6"		"GAV_F1R1_2"	"GAV_F1R1"	84.4	30	2532											"_F"
"olotillo_plate2"	"C6"		"CHIS_R40_1"	"CHIS_R40"	19.8	30	8.2	40		"México"	"Chiapas"	"Chiapa de Corzo"	"Narciso Mendoza"	16.57778189	-92.98854284	435.0801469		"_R"
"olotillo_plate2"	"D6"		"CHIS_L44_3"	"CHIS_L44"	23.2	30	696	44		"México"	"Chiapas"	"Ocozocuatla"	"San Jorge km 18"					"_L"
"olotillo_plate2"	"E6"		"OAX_N32_5"	"OAX_N32"	57.6	30	1728	32		"México"	"Oaxaca"	""	""					"_N"
"olotillo_plate2"	"F6"		"CHIS_L08_4"	"CHIS_L08"	26	30	780	8		"México"	"Chiapas"	"Ocozocuatla"	"San Isidro, Ciénega Silviana_predio"					"_L"
"olotillo_plate2"	"G6"		"GRO_N22_4"	"GRO_N22"	49.5	30	1485	22		"México"	"Guerrero"	"San Luis Acatlán"	"Yoloxochitl"	16.8115278	-98.68405556	641		"_N"
"olotillo_plate2"	"H6"		"GRO_N23_4"	"GRO_N23"	53.5	30	1605	23		"México"	"Guerrero"	"Coyuca de Benítez"	"La Lima"	16.9850833	-99.86388889	324		"_N"
