sample_id,state,scale,race
GAV_F1R2_2,,_F,Olotillo
CHIS_L44_4,Chiapas,Local,Olotillo
VER_E20_1,Veracruz,National,Olotillo
GRO_N19_4,Guerrero,National,Olotillo
GAV_F1R1_2,,_F,Olotillo
CHIS_R40_1,Chiapas,Regional,Olotillo
CHIS_L44_3,Chiapas,Local,Olotillo
OAX_N32_5,Oaxaca,National,Olotillo
CHIS_L08_4,Chiapas,Local,Olotillo
GRO_N22_4,Guerrero,National,Olotillo
GRO_N23_4,Guerrero,National,Olotillo
GAV_F1N2_1,,_F,Olotillo
GRO_N18_3,Guerrero,National,Olotillo
CHIS_L38_3,Chiapas,Local,Mix
CHIS_R11_4,Chiapas,Regional,Olotillo
CHIS_L43_2,Chiapas,Local,Olotillo
NAY_N30_4,Nayarit,National,Olotillo
NAY_N47_4,Nayarit,National,Olotillo
GAV_F1N1_2,,_F,Olotillo
CHIS_L42_2,Chiapas,Local,Olotillo
CHIS_L43_6,Chiapas,Local,Olotillo
CHIS_L38_1,Chiapas,Local,Mix
CHIS_L33_4,Chiapas,Local,Olotillo
CHIS_R02_3,Chiapas,Regional,Olotillo
CHIS_R05_3,Chiapas,Regional,Olotillo
CAM_E25_1,Campeche,National,Tuxpeño
XXX_XXX_14,,_X,Olotillo
CAM_E22_1,Campeche,National,Tuxpeño
CHIS_L08_1,Chiapas,Local,Olotillo
CHIS_L41_3,Chiapas,Local,Olotillo
CAM_E26_1,Campeche,National,Tuxpeño
CHIS_L36_5,Chiapas,Local,Olotillo
CHIS_L43_5,Chiapas,Local,Olotillo
GRO_N16_4,Guerrero,National,Olotillo
CHIS_L04_4,Chiapas,Local,Olotillo
CHIS_R11_3,Chiapas,Regional,Olotillo
VER_E17_1,Veracruz,National,Olotillo
CAM_E21_1,Campeche,National,Tuxpeño
GAV_F1L1_1,,_F,Olotillo
GAV_F1L1_2,,_F,Olotillo
CHIS_L41_2,Chiapas,Local,Olotillo
GRO_N22_3,Guerrero,National,Olotillo
CHIS_R06_1,Chiapas,Regional,Olotillo
GAV_F1L1_3,,_F,Olotillo
GRO_N13_4,Guerrero,National,Olotillo
GAV_F1L1_4,,_F,Olotillo
GRO_N19_3,Guerrero,National,Olotillo
OAX_N32_3,Oaxaca,National,Olotillo
VER_E18_1,Veracruz,National,Olotillo
CHIS_R02_4,Chiapas,Regional,Olotillo
GAV_F1L2_1,,_F,Olotillo
GRO_N15_3,Guerrero,National,Olotillo
CHIS_R10_4,Chiapas,Regional,Olotillo
CHIS_E23_1,Chiapas,Regional,Olotillo
CHIS_L04_3,Chiapas,Local,Olotillo
GAV_F1L3_2,,_F,Olotillo
CHIS_L37_2,Chiapas,Local,Olotillo
CHIS_R10_3,Chiapas,Regional,Olotillo
